"Jessie, gardienne... de zoo / Ann M. Martin ; adapté de l'américain par Sylvie Prieur";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1992 (Saint-Lambert : Payette & Simms)";"117 p. ; 20 cm";"Les baby-sitters ; 22";"Traduction de: Jessi Ramsey, pet-sitter
""Quatre gardiennes fondent leur club""";"2762569532 (br.) :";"Prieur, Sylvie , trad.";"Jessi Ramsey, pet-sitter";"0000310050";
"Mystère à Nouville / Ann M. Martin ; adapté de l'américain par Sylvie Prieur";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1993 (Saint-Lambert : Payette & Simms inc.)";"110 p. ; 20 cm";"Les baby-sitters ; 35";"Traduction de: Stacey and mystery of Stoneybrook
""Quatre gardiennes fondent leur club""
Sur la couv.: Un signet gratuit! à l'intérieur";"2-7625-7323-8 (br.) :";"Prieur, Sylvie , trad.";"Stacey and mystery of Stoneybrook";"0000340679"
"Pauvre Marjorie! / Ann M. Martin ; adapté de l'américain par Sylvie Prieur";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1993 (Saint-Lambert : Payette & Simms)";"113 p. ; 20 cm";"Les baby-sitters ; 39";"Traduction de: Poor Mallory!
""Quatre gardiennes fondent leur club""";"2-7625-7454-4 (br.) :";"Prieur, Sylvie , trad.";"Poor Mallory!";"0000380891"
"Qui en veut à Jessie? / Ann M. Martin ; adapté de l'américain par Sylvie Prieur";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1993 (Saint-Lambert : Payette & Simms)";"116 p. ; 20 cm";"Les baby-sitters ; 42";"Traduction de: Jessi and the dance school phantom
""Quatre gardiennes fondent leur club""
Date de cop.: 1994
Roman";"2-7625-7590-7 (br.) :";"Prieur, Sylvie , trad.";"Jessi and the dance school phantom";"0000415805"
"Le coup de foudre de Diane / Ann M. Martin ; adapté de l'américain par Nicole Ferron";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1993 (Saint-Lambert : Payette & Simms)";"116 p. ; 20 cm";"Les baby-sitters ; 37";"Traduction de: Dawn and the older boy
""Quatre gardiennes fondent leur club""";"2-7625-7452-8 (br.) :";"Ferron, Nicole , trad.";"Dawn and the older boy";"0000349356"
"Claudia et la tricheuse / Ann M. Martin ; adapté de l'américain par Sylvie Prieur";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1993 (Saint-Lambert : Payette & Simms)";"106 p. ; 20 cm + 1 signet";"Les baby-sitters ; 40";"Traduction de: Claudia and the middle school mystery
""Quatre gardiennes fondent leur club""";"2-7625-7455-2 (br.) :";"Prieur, Sylvie , trad.";"Claudia and the middle school mystery";"0000414943"
"Claudia fait des recherches / Ann M. Martin ; adapté de l'américain par Nicole Ferron";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, cop. 1993";"112 p. ; 20 cm";"Les baby-sitters ; 33";"Traduction de: Claudia and the great search
""Quatre gardiennes fondent leur club""";"2-7625-7321-1 (br.) :";"Ferron, Nicole , trad.";"Claudia and the great search";"0000339492"
"L'admirateur secret de Christine / Ann M. Martin ; adapté de l'américain par Nicole Ferron";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1993 (Saint-Lambert : Payette & Simms)";"120 p. ; 20 cm";"Les baby-sitters ; 38";"Traduction de: Kristy's mystery admirer
""Quatre gardiennes fondent leur club""";"2-7625-7453-6 (br.) :";"Ferron, Nicole , trad.";"Kristy's mystery admirer";"0000349357"
"Est-ce fini entre Anne-Marie et Louis? / Ann M. Martin ; adapté de l'américain par Nicole Ferron";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1993 (Saint-Lambert : Payette & Simms)";"112 p. ; 20 cm";"Les baby-sitters ; 41";"Traduction de: Mary Anne vs. Logan
""Quatre gardiennes fondent leur club""
Date de cop.: 1994
Roman";"2-7625-7589-3 (br.) :";"Ferron, Nicole , trad.";"Mary Anne vs. Logan";"0000415804"
"La gardienne de Jessie / Ann M. Martin ; adapté de l'américain par Nicole Ferron";"Martin, Ann M., 1955-";"Saint-Lambert : Héritage jeunesse, impression 1993 (Saint-Lambert : Payette & Simms inc.)";"115 p. ; 20 cm";"Les baby-sitters ; 36";"Traduction de: Jessi's baby-sitter
""Quatre gardiennes fondent leur club""
Sur la couv.: Un signet gratuit! à l'intérieur";"2-7625-7324-6 (br.) :";"Ferron, Nicole , trad.";"Jessi's baby-sitter";"0000340681"
