Identifiant;n° notice BnF;Type de notice ;Type de document;Localisation;Exemplaire n°;Titre;Auteur;Contributeur;Editeur;Date;Description;Sujet;Couverture;Langue;Format;
http://catalogue.bnf.fr/ark:/12148/cb355138947 | ISBN 2803423669 | ;35513894;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-23169 (14) | ;1;"Bienvenue, Marjorie ! / Ann M. Martin ; [trad., Martine Gosselin]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1992;"Collection : (Le club des babysitters ; 14) | Code à barres commercial : EAN 9782803423668 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb355138947 | ISBN 2803423669 | ;35513894;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14705 | ;2;"Bienvenue, Marjorie ! / Ann M. Martin ; [trad., Martine Gosselin]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1992;"Collection : (Le club des babysitters ; 14) | Code à barres commercial : EAN 9782803423668 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35524858t | ISBN 2803423782 | ;35524858;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-25821 (1) | ;1;"Coralie et la sorcière / Ann M. Martin ; [trad. par Martine Gosselin]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Gosselin, Martine | ;Gosselin, Martine. Traducteur;[Louvre] (Aartselaar) | Chantecler (Aartselaar) | ;1992;"Collection : (La petite soeur des baby-sitters ; 1) | Code à barres commercial : EAN 9782803423781 | ";;;fre | français | ;"77 p. : ill., couv. ill. en coul. ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb35524858t | ISBN 2803423782 | ;35524858;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14720 | ;2;"Coralie et la sorcière / Ann M. Martin ; [trad. par Martine Gosselin]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Gosselin, Martine | ;Gosselin, Martine. Traducteur;[Louvre] (Aartselaar) | Chantecler (Aartselaar) | ;1992;"Collection : (La petite soeur des baby-sitters ; 1) | Code à barres commercial : EAN 9782803423781 | ";;;fre | français | ;"77 p. : ill., couv. ill. en coul. ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb355136622 | ISBN 2803423650 | ;35513662;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-23169 (13) | ;1;"Le départ de Sophie / Ann M. Martin ; [trad., Marie-Laure Goupil]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1992;"Collection : (Le club des babysitters ; 13) | Code à barres commercial : EAN 9782803423651 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb355136622 | ISBN 2803423650 | ;35513662;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14723 | ;2;"Le départ de Sophie / Ann M. Martin ; [trad., Marie-Laure Goupil]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | ;;Chantecler (Aartselaar);1992;"Collection : (Le club des babysitters ; 13) | Code à barres commercial : EAN 9782803423651 | ";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb355249312;35524931;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-23169 (18) | ;1;"L'erreur de Sophie / Ann M. Martin ; [trad. par Françoise Rose]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Rose, Françoise (1948-....) | ;Rose, Françoise (1948-....). Traducteur;Chantecler (Aartselaar);1992;"Collection : (Le club des babysitters ; 18)";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb355249312;35524931;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14726 | ;2;"L'erreur de Sophie / Ann M. Martin ; [trad. par Françoise Rose]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Rose, Françoise (1948-....) | ;Rose, Françoise (1948-....). Traducteur;Chantecler (Aartselaar);1992;"Collection : (Le club des babysitters ; 18)";;;fre | français | ;"125 p. : couv. ill. en coul. ; 20 cm";
http://catalogue.bnf.fr/ark:/12148/cb35524861q | ISBN 2803423790 | ;35524861;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | EL 8-Y-25821 (2) | ;1;"Fais attention, Coralie ! / Ann M. Martin ; [trad. par Nathalie Chaput]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Chaput, Nathalie | ;Chaput, Nathalie. Traducteur;[Louvre] (Aartselaar) | Chantecler (Aartselaar) | ;1992;"Collection : (La petite soeur des baby-sitters ; 2) | Code à barres commercial : EAN 9782803423798 | ";;;fre | français | ;"77 p. : ill., couv. ill. en coul. ; 19 cm";
http://catalogue.bnf.fr/ark:/12148/cb35524861q | ISBN 2803423790 | ;35524861;monographie;texte imprimé;Tolbiac | Rez-de-jardin | magasin | 8-CNLJF-14727 | ;2;"Fais attention, Coralie ! / Ann M. Martin ; [trad. par Nathalie Chaput]";Martin, Ann M. (1955-....). Auteur du texte | Martin, Ann M. (1955-....) | Chaput, Nathalie | ;Chaput, Nathalie. Traducteur;[Louvre] (Aartselaar) | Chantecler (Aartselaar) | ;1992;"Collection : (La petite soeur des baby-sitters ; 2) | Code à barres commercial : EAN 9782803423798 | ";;;fre | français | ;"77 p. : ill., couv. ill. en coul. ; 19 cm";
